number,operon,start,end,gene,strand,direction
298,GCF_000196615.1_ASM19661v1_genomic_operon_1,4505,5278,X-unknown,forward,1
299,GCF_000196615.1_ASM19661v1_genomic_operon_1,5251,6924,X-unknown,reverse,-1
300,GCF_000196615.1_ASM19661v1_genomic_operon_1,7613,9265,X-unknown,forward,1
301,GCF_000196615.1_ASM19661v1_genomic_operon_1,9794,10021,X-unknown,reverse,-1
302,GCF_000196615.1_ASM19661v1_genomic_operon_1,9999,10649,ssp6,reverse,-1
303,GCF_000196615.1_ASM19661v1_genomic_operon_1,11019,12248,X-unknown,reverse,-1
304,GCF_000196615.1_ASM19661v1_genomic_operon_1,12584,15562,X-unknown,forward,1
305,GCF_000196615.1_ASM19661v1_genomic_operon_1,15616,17028,X-unknown,reverse,-1
306,GCF_000196615.1_ASM19661v1_genomic_operon_1,17300,18037,X-unknown,forward,1
307,GCF_000196615.1_ASM19661v1_genomic_operon_1,18040,19821,X-unknown,forward,1
308,GCF_000215745.1_ASM21574v1_genomic_operon_1,56,1159,X-unknown,forward,1
309,GCF_000215745.1_ASM21574v1_genomic_operon_1,1165,1791,X-unknown,reverse,-1
310,GCF_000215745.1_ASM21574v1_genomic_operon_1,2039,3250,X-unknown,forward,1
311,GCF_000215745.1_ASM21574v1_genomic_operon_1,3279,4037,X-unknown,reverse,-1
312,GCF_000215745.1_ASM21574v1_genomic_operon_1,4124,4717,X-unknown,reverse,-1
313,GCF_000215745.1_ASM21574v1_genomic_operon_1,5021,6253,X-unknown,forward,1
314,GCF_000215745.1_ASM21574v1_genomic_operon_1,6295,7107,X-unknown,reverse,-1
315,GCF_000215745.1_ASM21574v1_genomic_operon_1,7107,8309,X-unknown,reverse,-1
316,GCF_000215745.1_ASM21574v1_genomic_operon_1,8422,8976,X-unknown,forward,1
317,GCF_000215745.1_ASM21574v1_genomic_operon_1,8969,9766,X-unknown,reverse,-1
318,GCF_000215745.1_ASM21574v1_genomic_operon_1,10001,10645,ssp6,forward,1
319,GCF_000215745.1_ASM21574v1_genomic_operon_1,10608,10832,X-unknown,forward,1
320,GCF_000215745.1_ASM21574v1_genomic_operon_1,11076,12761,X-unknown,reverse,-1
321,GCF_000215745.1_ASM21574v1_genomic_operon_1,13028,13411,X-unknown,forward,1
322,GCF_000215745.1_ASM21574v1_genomic_operon_1,13418,13681,X-unknown,reverse,-1
323,GCF_000215745.1_ASM21574v1_genomic_operon_1,13873,14163,X-unknown,forward,1
324,GCF_000215745.1_ASM21574v1_genomic_operon_1,14147,14869,X-unknown,forward,1
325,GCF_000215745.1_ASM21574v1_genomic_operon_1,14936,15838,X-unknown,forward,1
326,GCF_000215745.1_ASM21574v1_genomic_operon_1,15927,16412,X-unknown,forward,1
327,GCF_000215745.1_ASM21574v1_genomic_operon_1,16743,17855,X-unknown,forward,1
328,GCF_000215745.1_ASM21574v1_genomic_operon_1,17979,19112,X-unknown,forward,1
329,GCF_000215745.1_ASM21574v1_genomic_operon_1,19123,20076,X-unknown,forward,1
330,GCF_000239975.1_ASM23997v1_genomic_operon_1,1175,3046,TssF,reverse,-1
331,GCF_000239975.1_ASM23997v1_genomic_operon_1,3049,3612,TssE,reverse,-1
332,GCF_000239975.1_ASM23997v1_genomic_operon_1,3605,4417,ImpE,reverse,-1
333,GCF_000239975.1_ASM23997v1_genomic_operon_1,4427,5413,X-unknown,reverse,-1
334,GCF_000239975.1_ASM23997v1_genomic_operon_1,5430,6227,PP2C,reverse,-1
335,GCF_000239975.1_ASM23997v1_genomic_operon_1,6224,8008,FHA,reverse,-1
336,GCF_000239975.1_ASM23997v1_genomic_operon_1,8415,8768,X-unknown,reverse,-1
337,GCF_000239975.1_ASM23997v1_genomic_operon_1,8765,9256,X-unknown,reverse,-1
338,GCF_000239975.1_ASM23997v1_genomic_operon_1,9316,9798,TssD,reverse,-1
339,GCF_000239975.1_ASM23997v1_genomic_operon_1,10069,10278,X-unknown,forward,1
340,GCF_000239975.1_ASM23997v1_genomic_operon_1,10273,10485,X-unknown,reverse,-1
341,GCF_000239975.1_ASM23997v1_genomic_operon_1,10478,11143,ssp6,reverse,-1
342,GCF_000239975.1_ASM23997v1_genomic_operon_1,11242,12741,TssC,reverse,-1
343,GCF_000239975.1_ASM23997v1_genomic_operon_1,12745,13269,TssB,reverse,-1
344,GCF_000239975.1_ASM23997v1_genomic_operon_1,13345,14361,TssA,reverse,-1
345,GCF_000239975.1_ASM23997v1_genomic_operon_1,14373,15089,TagF_N,reverse,-1
346,GCF_000239975.1_ASM23997v1_genomic_operon_1,15106,18726,TssM,reverse,-1
347,GCF_000239975.1_ASM23997v1_genomic_operon_1,18729,19967,TssL,reverse,-1
348,GCF_000240185.1_ASM24018v2_genomic_operon_1,1787,2353,X-unknown,reverse,-1
349,GCF_000240185.1_ASM24018v2_genomic_operon_1,2371,2616,X-unknown,reverse,-1
350,GCF_000240185.1_ASM24018v2_genomic_operon_1,2613,3350,X-unknown,reverse,-1
351,GCF_000240185.1_ASM24018v2_genomic_operon_1,3911,4177,X-unknown,forward,1
352,GCF_000240185.1_ASM24018v2_genomic_operon_1,4528,4722,X-unknown,forward,1
353,GCF_000240185.1_ASM24018v2_genomic_operon_1,4719,4946,X-unknown,forward,1
354,GCF_000240185.1_ASM24018v2_genomic_operon_1,4943,5263,X-unknown,forward,1
355,GCF_000240185.1_ASM24018v2_genomic_operon_1,5278,7611,X-unknown,forward,1
356,GCF_000240185.1_ASM24018v2_genomic_operon_1,8356,8622,X-unknown,forward,1
357,GCF_000240185.1_ASM24018v2_genomic_operon_1,8988,9467,X-unknown,forward,1
358,GCF_000240185.1_ASM24018v2_genomic_operon_1,10001,10480,TssD,reverse,-1
359,GCF_000240185.1_ASM24018v2_genomic_operon_1,10483,10830,X-unknown,reverse,-1
360,GCF_000240185.1_ASM24018v2_genomic_operon_1,10832,11506,ssp6,reverse,-1
361,GCF_000240185.1_ASM24018v2_genomic_operon_1,12693,13562,X-unknown,reverse,-1
362,GCF_000240185.1_ASM24018v2_genomic_operon_1,13742,14380,X-unknown,forward,1
363,GCF_000240185.1_ASM24018v2_genomic_operon_1,14463,16142,X-unknown,reverse,-1
364,GCF_000240185.1_ASM24018v2_genomic_operon_1,16201,17655,X-unknown,reverse,-1
365,GCF_000240185.1_ASM24018v2_genomic_operon_1,18067,19386,X-unknown,forward,1
366,GCF_000240185.1_ASM24018v2_genomic_operon_1,19658,21040,X-unknown,forward,1
367,GCF_000240325.1_ASM24032v1_genomic_operon_1,1543,1758,X-unknown,reverse,-1
368,GCF_000240325.1_ASM24032v1_genomic_operon_1,2075,4690,TssI,reverse,-1
369,GCF_000240325.1_ASM24032v1_genomic_operon_1,4758,4985,X-unknown,reverse,-1
370,GCF_000240325.1_ASM24032v1_genomic_operon_1,4982,5623,ssp6,reverse,-1
371,GCF_000240325.1_ASM24032v1_genomic_operon_1,5789,6946,TssH,reverse,-1
372,GCF_000240325.1_ASM24032v1_genomic_operon_1,7233,7724,TssD,reverse,-1
373,GCF_000240325.1_ASM24032v1_genomic_operon_1,7729,9453,TssM,reverse,-1
374,GCF_000240325.1_ASM24032v1_genomic_operon_1,9457,10110,TssL,reverse,-1
375,GCF_000240325.1_ASM24032v1_genomic_operon_1,10107,11444,TssK,reverse,-1
376,GCF_000240325.1_ASM24032v1_genomic_operon_1,11463,13007,TssC,reverse,-1
377,GCF_000240325.1_ASM24032v1_genomic_operon_1,13050,13547,TssB,reverse,-1
378,GCF_000255535.1_ASM25553v1_genomic_operon_1,332,424,X-unknown,reverse,-1
379,GCF_000255535.1_ASM25553v1_genomic_operon_1,1219,3930,X-unknown,reverse,-1
380,GCF_000255535.1_ASM25553v1_genomic_operon_1,4221,5306,X-unknown,forward,1
381,GCF_000255535.1_ASM25553v1_genomic_operon_1,5306,8371,X-unknown,forward,1
382,GCF_000255535.1_ASM25553v1_genomic_operon_1,8368,9333,X-unknown,forward,1
383,GCF_000255535.1_ASM25553v1_genomic_operon_1,9397,9651,X-unknown,reverse,-1
384,GCF_000255535.1_ASM25553v1_genomic_operon_1,9757,10011,X-unknown,reverse,-1
385,GCF_000255535.1_ASM25553v1_genomic_operon_1,10001,10657,ssp6,reverse,-1
386,GCF_000255535.1_ASM25553v1_genomic_operon_1,10788,11336,X-unknown,reverse,-1
387,GCF_000255535.1_ASM25553v1_genomic_operon_1,11435,12103,X-unknown,forward,1
388,GCF_000255535.1_ASM25553v1_genomic_operon_1,12100,12423,X-unknown,forward,1
389,GCF_000255535.1_ASM25553v1_genomic_operon_1,12474,13835,X-unknown,reverse,-1
390,GCF_000255535.1_ASM25553v1_genomic_operon_1,14443,15249,X-unknown,forward,1
391,GCF_000255535.1_ASM25553v1_genomic_operon_1,15236,15874,X-unknown,reverse,-1
392,GCF_000255535.1_ASM25553v1_genomic_operon_1,15871,17163,X-unknown,reverse,-1
393,GCF_000255535.1_ASM25553v1_genomic_operon_1,17318,17977,X-unknown,forward,1
394,GCF_000255535.1_ASM25553v1_genomic_operon_1,18132,18950,X-unknown,forward,1
395,GCF_000255535.1_ASM25553v1_genomic_operon_1,18950,19774,X-unknown,forward,1
396,GCF_000255535.1_ASM25553v1_genomic_operon_2,1580,2515,X-unknown,forward,1
397,GCF_000255535.1_ASM25553v1_genomic_operon_2,2421,3320,X-unknown,reverse,-1
398,GCF_000255535.1_ASM25553v1_genomic_operon_2,3534,3836,X-unknown,forward,1
399,GCF_000255535.1_ASM25553v1_genomic_operon_2,4090,4764,X-unknown,forward,1
400,GCF_000255535.1_ASM25553v1_genomic_operon_2,4816,5556,X-unknown,reverse,-1
401,GCF_000255535.1_ASM25553v1_genomic_operon_2,5559,6632,X-unknown,reverse,-1
402,GCF_000255535.1_ASM25553v1_genomic_operon_2,6639,7484,X-unknown,reverse,-1
403,GCF_000255535.1_ASM25553v1_genomic_operon_2,7481,8368,X-unknown,reverse,-1
404,GCF_000255535.1_ASM25553v1_genomic_operon_2,8483,9796,X-unknown,reverse,-1
405,GCF_000255535.1_ASM25553v1_genomic_operon_2,9999,10478,TssD,reverse,-1
406,GCF_000255535.1_ASM25553v1_genomic_operon_2,10494,10742,X-unknown,reverse,-1
407,GCF_000255535.1_ASM25553v1_genomic_operon_2,10729,11409,ssp6,reverse,-1
408,GCF_000255535.1_ASM25553v1_genomic_operon_2,11689,12876,X-unknown,reverse,-1
409,GCF_000255535.1_ASM25553v1_genomic_operon_2,13008,13289,X-unknown,reverse,-1
410,GCF_000255535.1_ASM25553v1_genomic_operon_2,13265,13687,X-unknown,reverse,-1
411,GCF_000255535.1_ASM25553v1_genomic_operon_2,13715,14485,X-unknown,reverse,-1
412,GCF_000255535.1_ASM25553v1_genomic_operon_2,14482,15771,X-unknown,reverse,-1
413,GCF_000255535.1_ASM25553v1_genomic_operon_2,15768,16694,X-unknown,reverse,-1
414,GCF_000255535.1_ASM25553v1_genomic_operon_2,16857,17969,X-unknown,reverse,-1
415,GCF_000255535.1_ASM25553v1_genomic_operon_2,18373,18753,X-unknown,forward,1
416,GCF_000255535.1_ASM25553v1_genomic_operon_2,19068,19289,X-unknown,reverse,-1
417,GCF_000255535.1_ASM25553v1_genomic_operon_2,19276,20223,X-unknown,reverse,-1
418,GCF_000261045.2_ASM26104v2_genomic_operon_1,619,4029,TssM,forward,1
419,GCF_000261045.2_ASM26104v2_genomic_operon_1,4029,5621,TssA,forward,1
420,GCF_000261045.2_ASM26104v2_genomic_operon_1,5646,7409,TssF,forward,1
421,GCF_000261045.2_ASM26104v2_genomic_operon_1,7409,8464,TssG,forward,1
422,GCF_000261045.2_ASM26104v2_genomic_operon_1,8445,8981,TssJ,forward,1
423,GCF_000261045.2_ASM26104v2_genomic_operon_1,9432,10244,TssH,forward,1
424,GCF_000261045.2_ASM26104v2_genomic_operon_1,10291,10902,ssp6,forward,1
425,GCF_000261045.2_ASM26104v2_genomic_operon_1,10899,11126,X-unknown,forward,1
426,GCF_000261045.2_ASM26104v2_genomic_operon_1,11224,12915,TssI,forward,1
427,GCF_000261045.2_ASM26104v2_genomic_operon_1,12948,13766,TssI,forward,1
428,GCF_000261045.2_ASM26104v2_genomic_operon_1,13763,15676,X-unknown,forward,1
429,GCF_000261045.2_ASM26104v2_genomic_operon_1,15660,16412,X-unknown,forward,1
430,GCF_000261045.2_ASM26104v2_genomic_operon_1,16562,16999,TssE,forward,1
431,GCF_000261045.2_ASM26104v2_genomic_operon_1,17052,17489,X-unknown,forward,1
432,GCF_000261045.2_ASM26104v2_genomic_operon_1,17594,18838,X-unknown,forward,1
433,GCF_000261045.2_ASM26104v2_genomic_operon_1,18885,20282,TssA,forward,1
434,GCF_000262305.1_ASM26230v1_genomic_operon_1,865,1617,X-unknown,reverse,-1
435,GCF_000262305.1_ASM26230v1_genomic_operon_1,1604,2761,X-unknown,reverse,-1
436,GCF_000262305.1_ASM26230v1_genomic_operon_1,2761,3798,X-unknown,reverse,-1
437,GCF_000262305.1_ASM26230v1_genomic_operon_1,3887,5176,X-unknown,forward,1
438,GCF_000262305.1_ASM26230v1_genomic_operon_1,5246,5722,X-unknown,forward,1
439,GCF_000262305.1_ASM26230v1_genomic_operon_1,5901,7172,X-unknown,forward,1
440,GCF_000262305.1_ASM26230v1_genomic_operon_1,7211,8206,X-unknown,reverse,-1
441,GCF_000262305.1_ASM26230v1_genomic_operon_1,8355,9185,X-unknown,forward,1
442,GCF_000262305.1_ASM26230v1_genomic_operon_1,9351,9533,X-unknown,reverse,-1
443,GCF_000262305.1_ASM26230v1_genomic_operon_1,9547,9741,X-unknown,reverse,-1
444,GCF_000262305.1_ASM26230v1_genomic_operon_1,10001,10504,TssD,reverse,-1
445,GCF_000262305.1_ASM26230v1_genomic_operon_1,10531,10749,X-unknown,reverse,-1
446,GCF_000262305.1_ASM26230v1_genomic_operon_1,10739,11389,ssp6,reverse,-1
447,GCF_000262305.1_ASM26230v1_genomic_operon_1,11708,12766,X-unknown,reverse,-1
448,GCF_000262305.1_ASM26230v1_genomic_operon_1,12766,13461,X-unknown,reverse,-1
449,GCF_000262305.1_ASM26230v1_genomic_operon_1,13458,14234,X-unknown,reverse,-1
450,GCF_000262305.1_ASM26230v1_genomic_operon_1,14409,14558,X-unknown,reverse,-1
451,GCF_000262305.1_ASM26230v1_genomic_operon_1,14709,15500,X-unknown,forward,1
452,GCF_000262305.1_ASM26230v1_genomic_operon_1,15577,17046,X-unknown,forward,1
453,GCF_000262305.1_ASM26230v1_genomic_operon_1,17249,18265,X-unknown,forward,1
454,GCF_000262305.1_ASM26230v1_genomic_operon_1,18275,19321,X-unknown,forward,1
455,GCF_000262305.1_ASM26230v1_genomic_operon_1,19324,20472,X-unknown,forward,1
456,GCF_000281435.2_ASM28143v2_genomic_operon_1,1784,2350,X-unknown,reverse,-1
457,GCF_000281435.2_ASM28143v2_genomic_operon_1,2368,2613,X-unknown,reverse,-1
458,GCF_000281435.2_ASM28143v2_genomic_operon_1,2610,3347,X-unknown,reverse,-1
459,GCF_000281435.2_ASM28143v2_genomic_operon_1,3908,4174,X-unknown,forward,1
460,GCF_000281435.2_ASM28143v2_genomic_operon_1,4525,4719,X-unknown,forward,1
461,GCF_000281435.2_ASM28143v2_genomic_operon_1,4716,4943,X-unknown,forward,1
462,GCF_000281435.2_ASM28143v2_genomic_operon_1,4940,5260,X-unknown,forward,1
463,GCF_000281435.2_ASM28143v2_genomic_operon_1,5275,7608,X-unknown,forward,1
464,GCF_000281435.2_ASM28143v2_genomic_operon_1,8354,8620,X-unknown,forward,1
465,GCF_000281435.2_ASM28143v2_genomic_operon_1,8986,9465,X-unknown,forward,1
466,GCF_000281435.2_ASM28143v2_genomic_operon_1,9999,10478,TssD,reverse,-1
467,GCF_000281435.2_ASM28143v2_genomic_operon_1,10481,10828,X-unknown,reverse,-1
468,GCF_000281435.2_ASM28143v2_genomic_operon_1,10830,11504,ssp6,reverse,-1
469,GCF_000281435.2_ASM28143v2_genomic_operon_1,12691,13560,X-unknown,reverse,-1
470,GCF_000281435.2_ASM28143v2_genomic_operon_1,13740,14378,X-unknown,forward,1
471,GCF_000281435.2_ASM28143v2_genomic_operon_1,14461,16140,X-unknown,reverse,-1
472,GCF_000281435.2_ASM28143v2_genomic_operon_1,16199,17653,X-unknown,reverse,-1
473,GCF_000281435.2_ASM28143v2_genomic_operon_1,18065,19384,X-unknown,forward,1
474,GCF_000281535.2_ASM28153v2_genomic_operon_1,1786,2352,X-unknown,reverse,-1
475,GCF_000281535.2_ASM28153v2_genomic_operon_1,2370,2615,X-unknown,reverse,-1
476,GCF_000281535.2_ASM28153v2_genomic_operon_1,2612,3349,X-unknown,reverse,-1
477,GCF_000281535.2_ASM28153v2_genomic_operon_1,3910,4176,X-unknown,forward,1
478,GCF_000281535.2_ASM28153v2_genomic_operon_1,4527,4721,X-unknown,forward,1
479,GCF_000281535.2_ASM28153v2_genomic_operon_1,4718,4945,X-unknown,forward,1
480,GCF_000281535.2_ASM28153v2_genomic_operon_1,4942,5262,X-unknown,forward,1
481,GCF_000281535.2_ASM28153v2_genomic_operon_1,5277,7610,X-unknown,forward,1
482,GCF_000281535.2_ASM28153v2_genomic_operon_1,8356,8622,X-unknown,forward,1
483,GCF_000281535.2_ASM28153v2_genomic_operon_1,8988,9467,X-unknown,forward,1
484,GCF_000281535.2_ASM28153v2_genomic_operon_1,10001,10480,TssD,reverse,-1
485,GCF_000281535.2_ASM28153v2_genomic_operon_1,10483,10830,X-unknown,reverse,-1
486,GCF_000281535.2_ASM28153v2_genomic_operon_1,10832,11506,ssp6,reverse,-1
487,GCF_000281535.2_ASM28153v2_genomic_operon_1,12693,13562,X-unknown,reverse,-1
488,GCF_000281535.2_ASM28153v2_genomic_operon_1,13742,14380,X-unknown,forward,1
489,GCF_000281535.2_ASM28153v2_genomic_operon_1,14463,16142,X-unknown,reverse,-1
490,GCF_000281535.2_ASM28153v2_genomic_operon_1,16201,17655,X-unknown,reverse,-1
491,GCF_000281535.2_ASM28153v2_genomic_operon_1,18067,19386,X-unknown,forward,1
492,GCF_000281535.2_ASM28153v2_genomic_operon_1,19658,21040,X-unknown,forward,1
493,GCF_000283875.1_ASM28387v1_genomic_operon_1,541,1263,X-unknown,reverse,-1
494,GCF_000283875.1_ASM28387v1_genomic_operon_1,1453,2337,X-unknown,forward,1
495,GCF_000283875.1_ASM28387v1_genomic_operon_1,2385,3746,X-unknown,forward,1
496,GCF_000283875.1_ASM28387v1_genomic_operon_1,3748,4317,X-unknown,reverse,-1
497,GCF_000283875.1_ASM28387v1_genomic_operon_1,4345,4629,X-unknown,reverse,-1
498,GCF_000283875.1_ASM28387v1_genomic_operon_1,4733,5311,X-unknown,forward,1
499,GCF_000283875.1_ASM28387v1_genomic_operon_1,5750,5863,X-unknown,forward,1
500,GCF_000283875.1_ASM28387v1_genomic_operon_1,6405,7022,X-unknown,forward,1
501,GCF_000283875.1_ASM28387v1_genomic_operon_1,7148,7882,X-unknown,reverse,-1
502,GCF_000283875.1_ASM28387v1_genomic_operon_1,8560,9372,X-unknown,forward,1
503,GCF_000283875.1_ASM28387v1_genomic_operon_1,9435,9824,X-unknown,reverse,-1
504,GCF_000283875.1_ASM28387v1_genomic_operon_1,9821,10024,X-unknown,reverse,-1
505,GCF_000283875.1_ASM28387v1_genomic_operon_1,9999,10631,ssp6,reverse,-1
506,GCF_000283875.1_ASM28387v1_genomic_operon_1,10995,11732,X-unknown,reverse,-1
507,GCF_000283875.1_ASM28387v1_genomic_operon_1,11770,12711,X-unknown,reverse,-1
508,GCF_000283875.1_ASM28387v1_genomic_operon_1,12923,14608,X-unknown,forward,1
509,GCF_000283875.1_ASM28387v1_genomic_operon_1,14681,14929,X-unknown,reverse,-1
510,GCF_000283875.1_ASM28387v1_genomic_operon_1,15141,15875,X-unknown,forward,1
511,GCF_000283875.1_ASM28387v1_genomic_operon_1,15973,17106,X-unknown,forward,1
512,GCF_000283875.1_ASM28387v1_genomic_operon_1,17159,18646,X-unknown,reverse,-1
513,GCF_000283875.1_ASM28387v1_genomic_operon_1,18649,19593,X-unknown,reverse,-1
514,GCF_000283875.1_ASM28387v1_genomic_operon_1,19586,20416,X-unknown,reverse,-1
515,GCF_000294535.1_ASM29453v1_genomic_operon_1,522,1481,X-unknown,forward,1
516,GCF_000294535.1_ASM29453v1_genomic_operon_1,1608,1997,X-unknown,forward,1
517,GCF_000294535.1_ASM29453v1_genomic_operon_1,2002,3321,X-unknown,forward,1
518,GCF_000294535.1_ASM29453v1_genomic_operon_1,3459,3719,X-unknown,reverse,-1
519,GCF_000294535.1_ASM29453v1_genomic_operon_1,3706,3906,X-unknown,reverse,-1
520,GCF_000294535.1_ASM29453v1_genomic_operon_1,4147,4701,X-unknown,forward,1
521,GCF_000294535.1_ASM29453v1_genomic_operon_1,4772,5470,X-unknown,forward,1
522,GCF_000294535.1_ASM29453v1_genomic_operon_1,5533,8097,X-unknown,reverse,-1
523,GCF_000294535.1_ASM29453v1_genomic_operon_1,8622,8840,X-unknown,forward,1
524,GCF_000294535.1_ASM29453v1_genomic_operon_1,8982,9242,X-unknown,reverse,-1
525,GCF_000294535.1_ASM29453v1_genomic_operon_1,9317,10012,ssp6,forward,1
526,GCF_000294535.1_ASM29453v1_genomic_operon_1,10009,10185,X-unknown,forward,1
527,GCF_000294535.1_ASM29453v1_genomic_operon_1,10215,10694,TssD,reverse,-1
528,GCF_000294535.1_ASM29453v1_genomic_operon_1,11021,11650,X-unknown,reverse,-1
529,GCF_000294535.1_ASM29453v1_genomic_operon_1,11847,12614,X-unknown,reverse,-1
530,GCF_000294535.1_ASM29453v1_genomic_operon_1,12626,13573,X-unknown,reverse,-1
531,GCF_000294535.1_ASM29453v1_genomic_operon_1,13573,14568,X-unknown,reverse,-1
532,GCF_000294535.1_ASM29453v1_genomic_operon_1,14565,15479,X-unknown,reverse,-1
533,GCF_000294535.1_ASM29453v1_genomic_operon_1,15569,17917,X-unknown,reverse,-1
534,GCF_000294535.1_ASM29453v1_genomic_operon_1,18010,18966,X-unknown,reverse,-1
535,GCF_000294535.1_ASM29453v1_genomic_operon_1,18963,19487,X-unknown,reverse,-1
536,GCF_000300455.3_ASM30045v4_genomic_operon_1,406,1359,X-unknown,reverse,-1
537,GCF_000300455.3_ASM30045v4_genomic_operon_1,1369,2502,X-unknown,reverse,-1
538,GCF_000300455.3_ASM30045v4_genomic_operon_1,2644,3756,X-unknown,reverse,-1
539,GCF_000300455.3_ASM30045v4_genomic_operon_1,4106,4585,X-unknown,reverse,-1
540,GCF_000300455.3_ASM30045v4_genomic_operon_1,4671,5573,X-unknown,reverse,-1
541,GCF_000300455.3_ASM30045v4_genomic_operon_1,5646,6368,X-unknown,reverse,-1
542,GCF_000300455.3_ASM30045v4_genomic_operon_1,6543,6806,X-unknown,forward,1
543,GCF_000300455.3_ASM30045v4_genomic_operon_1,6837,7202,X-unknown,reverse,-1
544,GCF_000300455.3_ASM30045v4_genomic_operon_1,7484,9169,X-unknown,forward,1
545,GCF_000300455.3_ASM30045v4_genomic_operon_1,9400,9624,X-unknown,reverse,-1
546,GCF_000300455.3_ASM30045v4_genomic_operon_1,9811,10029,X-unknown,reverse,-1
547,GCF_000300455.3_ASM30045v4_genomic_operon_1,10001,10636,ssp6,reverse,-1
548,GCF_000300455.3_ASM30045v4_genomic_operon_1,10816,11031,X-unknown,reverse,-1
549,GCF_000300455.3_ASM30045v4_genomic_operon_1,11099,12184,X-unknown,reverse,-1
550,GCF_000300455.3_ASM30045v4_genomic_operon_1,12181,12666,X-unknown,reverse,-1
551,GCF_000300455.3_ASM30045v4_genomic_operon_1,12663,15464,X-unknown,reverse,-1
552,GCF_000300455.3_ASM30045v4_genomic_operon_1,15591,15893,X-unknown,reverse,-1
553,GCF_000300455.3_ASM30045v4_genomic_operon_1,15948,16463,X-unknown,reverse,-1
554,GCF_000300455.3_ASM30045v4_genomic_operon_1,16473,17645,X-unknown,reverse,-1
555,GCF_000300455.3_ASM30045v4_genomic_operon_1,17779,17964,X-unknown,reverse,-1
556,GCF_000300455.3_ASM30045v4_genomic_operon_1,17951,19114,X-unknown,reverse,-1
557,GCF_000300455.3_ASM30045v4_genomic_operon_1,19111,19716,X-unknown,reverse,-1
558,GCF_000300455.3_ASM30045v4_genomic_operon_1,19709,20617,X-unknown,reverse,-1
559,GCF_000330865.1_ASM33086v1_genomic_operon_1,133,906,X-unknown,forward,1
560,GCF_000330865.1_ASM33086v1_genomic_operon_1,921,3620,X-unknown,reverse,-1
561,GCF_000330865.1_ASM33086v1_genomic_operon_1,4235,5101,X-unknown,reverse,-1
562,GCF_000330865.1_ASM33086v1_genomic_operon_1,5205,6620,X-unknown,forward,1
563,GCF_000330865.1_ASM33086v1_genomic_operon_1,6607,7344,X-unknown,reverse,-1
564,GCF_000330865.1_ASM33086v1_genomic_operon_1,8060,8692,X-unknown,forward,1
565,GCF_000330865.1_ASM33086v1_genomic_operon_1,8916,9119,X-unknown,reverse,-1
566,GCF_000330865.1_ASM33086v1_genomic_operon_1,9999,10637,ssp6,forward,1
567,GCF_000330865.1_ASM33086v1_genomic_operon_1,10839,11270,X-unknown,forward,1
568,GCF_000330865.1_ASM33086v1_genomic_operon_1,11445,11657,X-unknown,reverse,-1
569,GCF_000330865.1_ASM33086v1_genomic_operon_1,12468,12677,X-unknown,forward,1
570,GCF_000330865.1_ASM33086v1_genomic_operon_1,12842,13846,X-unknown,forward,1
571,GCF_000330865.1_ASM33086v1_genomic_operon_1,13880,14962,X-unknown,reverse,-1
572,GCF_000330865.1_ASM33086v1_genomic_operon_1,15182,15586,X-unknown,reverse,-1
573,GCF_000330865.1_ASM33086v1_genomic_operon_1,15688,15936,X-unknown,reverse,-1
574,GCF_000330865.1_ASM33086v1_genomic_operon_1,15952,16149,X-unknown,reverse,-1
575,GCF_000330865.1_ASM33086v1_genomic_operon_1,16480,17400,X-unknown,forward,1
576,GCF_000330865.1_ASM33086v1_genomic_operon_1,17402,18319,X-unknown,reverse,-1
577,GCF_000330865.1_ASM33086v1_genomic_operon_1,18374,19147,X-unknown,reverse,-1
578,GCF_000330865.1_ASM33086v1_genomic_operon_1,19399,19818,X-unknown,forward,1
579,GCF_000330865.1_ASM33086v1_genomic_operon_1,19830,20012,X-unknown,reverse,-1
580,GCF_000364385.3_ASM36438v3_genomic_operon_1,1786,2352,X-unknown,reverse,-1
581,GCF_000364385.3_ASM36438v3_genomic_operon_1,2370,2615,X-unknown,reverse,-1
582,GCF_000364385.3_ASM36438v3_genomic_operon_1,2612,3349,X-unknown,reverse,-1
583,GCF_000364385.3_ASM36438v3_genomic_operon_1,3910,4176,X-unknown,forward,1
584,GCF_000364385.3_ASM36438v3_genomic_operon_1,4527,4721,X-unknown,forward,1
585,GCF_000364385.3_ASM36438v3_genomic_operon_1,4718,4945,X-unknown,forward,1
586,GCF_000364385.3_ASM36438v3_genomic_operon_1,4942,5262,X-unknown,forward,1
587,GCF_000364385.3_ASM36438v3_genomic_operon_1,5277,7610,X-unknown,forward,1
588,GCF_000364385.3_ASM36438v3_genomic_operon_1,8356,8622,X-unknown,forward,1
589,GCF_000364385.3_ASM36438v3_genomic_operon_1,8988,9467,X-unknown,forward,1
590,GCF_000364385.3_ASM36438v3_genomic_operon_1,10001,10480,TssD,reverse,-1
591,GCF_000364385.3_ASM36438v3_genomic_operon_1,10483,10830,X-unknown,reverse,-1
592,GCF_000364385.3_ASM36438v3_genomic_operon_1,10832,11506,ssp6,reverse,-1
593,GCF_000364385.3_ASM36438v3_genomic_operon_1,12693,13562,X-unknown,reverse,-1
594,GCF_000364385.3_ASM36438v3_genomic_operon_1,13742,14380,X-unknown,forward,1
595,GCF_000364385.3_ASM36438v3_genomic_operon_1,14463,16142,X-unknown,reverse,-1
