File,Strain name,Assembly,Locus,BioSample,BioProject,Source,Host,Strain,Location,Collection Date,Submission Date,Species,Short species,Assembly Method,Genome Representation, Genome Coverage,Sequencing Technology,Assembly Length,Number of contigs,Largest contig,Published,Journal,Authors,Title
GCF_000009545.1_ASM954v1_genomic.gbff,ASM954v1,GCF_000009545.1,NC_012004,SAMEA3138207,PRJNA224116,None,None,0140J,None,None,10-Mar-08,Streptococcus uberis 0140J,Streptococcus uberis,None,None,None,None,1852352,1,1852352,Yes,BMC Genet. 10 (54) (2009) In press,Ward;P.N.; Holden;M.T.G.; Leigh;J.A.; Lennard;N.; Bignell;A.; Barron;A.; Clark;L.; Quail;M.A.; Woodward;J.; Barrell;B.G.; Egan;S.A.; Field;T.R.; Maskell;D.; Kehoe;M.; Dowson;C.G.; Chanter;N.; Whatmore;A.M.; Bentley;S.D. and Parkhill;J.,Evidence for niche adaptation in the genome of the bovine pathogen Streptococcus uberis
GCF_000019985.1_ASM1998v1_genomic.gbff,ASM1998v1,GCF_000019985.1,NC_010582,SAMN02603015,PRJNA224116,None,None,CGSP14,None,None,02-Apr-08,Streptococcus pneumoniae CGSP14,Streptococcus pneumoniae,None,None,None,None,2209198,1,2209198,Yes,BMC Genomics 10; 158 (2009),Ding;F.; Tang;P.; Hsu;M.H.; Cui;P.; Hu;S.; Yu;J. and Chiu;C.H.,Genome evolution driven by host adaptations results in a more virulent and antimicrobial-resistant Streptococcus pneumoniae serotype 14
GCF_000020305.1_ASM2030v1_genomic.gbff,ASM2030v1,GCF_000020305.1,NC_012026,SAMN02604306,PRJNA224116,erythrocytes,cattle,Florida,USA: Florida,None,06-May-08,Anaplasma marginale str. Florida,Anaplasma marginale,None,None,None,None,1202435,1,1202435,Yes,BMC Genomics 10; 16 (2009),Dark;M.J.; Herndon;D.R.; Kappmeyer;L.S.; Gonzales;M.P.; Nordeen;E.; Palmer;G.H.; Knowles;D.P. Jr. and Brayton;K.A.,Conservation in the face of diversity: multistrain analysis of an intracellular bacterium
GCF_000023005.1_ASM2300v1_genomic.gbff,ASM2300v1,GCF_000023005.1,NC_012633,SAMN02603146,PRJNA224116,None,Amblyomma variegatum (cattle tick),ESF-5,Ethiopia,None,14-Apr-09,Rickettsia africae ESF-5,Rickettsia africae,None,None,None,None,1290917,2,1278540,Yes,BMC Genomics 10; 166 (2009),Fournier;P.E.; El Karkouri;K.; Leroy;Q.; Robert;C.; Giumelli;B.; Renesto;P.; Socolovschi;C.; Parola;P.; Audic;S. and Raoult;D.,Analysis of the Rickettsia africae genome reveals that virulence acquisition in Rickettsia species may be explained by genome reduction
GCF_000026905.1_ASM2690v1_genomic.gbff,ASM2690v1,GCF_000026905.1,NC_012687,SAMEA2272143,PRJNA224116,None,None,B/TZ1A828/OT,None,None,11-Nov-08,Chlamydia trachomatis B/TZ1A828/OT,Chlamydia trachomatis,None,None,None,None,1044282,1,1044282,Yes,BMC Genomics 10; 239 (2009),Seth-Smith;H.M.; Harris;S.R.; Persson;K.; Marsh;P.; Barron;A.; Bignell;A.; Bjartling;C.; Clark;L.; Cutcliffe;L.T.; Lambden;P.R.; Lennard;N.; Lockey;S.J.; Quail;M.A.; Salim;O.; Skilton;R.J.; Wang;Y.; Holland;M.J.; Parkhill;J.; Thomson;N.R. and Clarke;I.N.,Co-evolution of genomes and plasmids within Chlamydia trachomatis and the emergence in Sweden of a new variant strain
GCF_000026925.1_ASM2692v1_genomic.gbff,ASM2692v1,GCF_000026925.1,NC_012686,SAMEA2272641,PRJNA224116,None,None,Jali20,None,None,11-Nov-08,Chlamydia trachomatis B/Jali20/OT,Chlamydia trachomatis,None,None,None,None,1044352,1,1044352,Yes,BMC Genomics 10; 239 (2009),Seth-Smith;H.M.; Harris;S.R.; Persson;K.; Marsh;P.; Barron;A.; Bignell;A.; Bjartling;C.; Clark;L.; Cutcliffe;L.T.; Lambden;P.R.; Lennard;N.; Lockey;S.J.; Quail;M.A.; Salim;O.; Skilton;R.J.; Wang;Y.; Holland;M.J.; Parkhill;J.; Thomson;N.R. and Clarke;I.N.,Co-evolution of genomes and plasmids within Chlamydia trachomatis and the emergence in Sweden of a new variant strain
GCF_000196475.1_ASM19647v1_genomic.gbff,ASM19647v1,GCF_000196475.1,NC_012962,SAMEA2272210,PRJNA224116,None,None,None,None,None,21-May-08,Photorhabdus asymbiotica,Photorhabdus asymbiotica,None,None,None,None,5094138,2,5064808,Yes,BMC Genomics 10; 302 (2009),Wilkinson;P.; Waterfield;N.R.; Crossman;L.; Corton;C.; Sanchez-Contreras;M.; Vlisidou;I.; Barron;A.; Bignell;A.; Clark;L.; Ormond;D.; Mayho;M.; Bason;N.; Smith;F.; Simmonds;M.; Churcher;C.; Harris;D.; Thompson;N.R.; Quail;M.; Parkhill;J. and Ffrench-Constant;R.H.,Comparative genomics of the emerging human pathogen Photorhabdus asymbiotica with the insect pathogen Photorhabdus luminescens
GCF_000022745.1_ASM2274v1_genomic.gbff,ASM2274v1,GCF_000022745.1,NC_013119,SAMN02603148,PRJNA224116,None,None,CCM 4915,None,None,31-Mar-09,Brucella microti CCM 4915,Brucella microti,None,None,None,None,3337369,2,2117050,Yes,BMC Genomics 10; 352 (2009),Audic;S.; Lescot;M.; Claverie;J.M. and Scholz;H.C.,Brucella microti: the genome sequence of an emerging pathogen
GCF_000091645.1_ASM9164v1_genomic.gbff,ASM9164v1,GCF_000091645.1,NC_013928,SAMD00060939,PRJNA224116,None,None,NN2025,None,None,18-Mar-08,Streptococcus mutans NN2025,Streptococcus mutans,None,None,None,None,2013587,1,2013587,Yes,BMC Genomics 10; 358 (2009),Maruyama;F.; Kobata;M.; Kurokawa;K.; Nishida;K.; Sakurai;A.; Nakano;K.; Nomura;R.; Kawabata;S.; Ooshima;T.; Nakai;K.; Hattori;M.; Hamada;S. and Nakagawa;I.,Comparative genomic analyses of Streptococcus mutans provide insights into chromosomal shuffling and species-specific content
GCF_000026565.1_ASM2656v1_genomic.gbff,ASM2656v1,GCF_000026565.1,NC_011147,SAMEA1705953,PRJNA224116,None,None,AKU12601,Pakistan:Karachi,None,17-Jun-08,Salmonella enterica subsp. enterica serovar Paratyphi A str.,Salmonella enterica,None,None,None,None,4581797,1,4581797,Yes,BMC Genomics 10; 36 (2009),Holt;K.E.; Thomson;N.R.; Wain;J.; Langridge;G.C.; Hasan;R.; Bhutta;Z.A.; Quail;M.A.; Norbertczak;H.; Walker;D.; Simmonds;M.; White;B.; Bason;N.; Mungall;K.; Dougan;G. and Parkhill;J.,Pseudogene accumulation in the evolutionary histories of Salmonella enterica serovars Paratyphi A and Typhi
GCF_000007785.1_ASM778v1_genomic.gbff,ASM778v1,GCF_000007785.1,NC_004668,None,PRJNA57669,None,None,V583,None,None,30-Mar-03,Enterococcus faecalis V583,Enterococcus faecalis,None,None,None,None,3359974,4,3218031,Yes,BMC Genomics 10; 410 (2009),Wecker;P.; Klockow;C.; Ellrott;A.; Quast;C.; Langhammer;P.; Harder;J. and Glockner;F.O.,Transcriptional response of the model planctomycete Rhodopirellula baltica SH1(T) to changing environmental conditions
GCF_000196115.1_ASM19611v1_genomic.gbff,ASM19611v1,GCF_000196115.1,NC_005027,None,PRJNA61589,None,None,1,None,None,11-Sep-04,Rhodopirellula baltica SH 1,Rhodopirellula baltica,None,None,None,None,7145576,1,7145576,Yes,BMC Genomics 10; 410 (2009),Wecker;P.; Klockow;C.; Ellrott;A.; Quast;C.; Langhammer;P.; Harder;J. and Glockner;F.O.,Transcriptional response of the model planctomycete Rhodopirellula baltica SH1(T) to changing environmental conditions
GCF_000067045.1_ASM6704v1_genomic.gbff,ASM6704v1,GCF_000067045.1,NC_010125,SAMEA3138270,PRJNA224116,None,None,PAl 5,None,None,13-Sep-07,Gluconacetobacter diazotrophicus PA1 5,Gluconacetobacter diazotrophicus,None,None,None,None,3999591,3,3944163,Yes,BMC Genomics 10; 450 (2009),Bertalan;M.; Albano;R.; de Padua;V.; Rouws;L.; Rojas;C.; Hemerly;A.; Teixeira;K.; Schwab;S.; Araujo;J.; Oliveira;A.; Franca;L.; Magalhaes;V.; Alqueres;S.; Cardoso;A.; Almeida;W.; Loureiro;M.M.; Nogueira;E.; Cidade;D.; Oliveira;D.; Simao;T.; Macedo;J.; Valadao;A.; Dreschsel;M.; Freitas;F.; Vidal;M.;,Complete genome sequence of the sugarcane nitrogen-fixing endophyte Gluconacetobacter diazotrophicus Pal5
GCF_000087965.2_ASM8796v1_genomic.gbff,ASM8796v1,GCF_000087965.2,NC_013722,SAMEA3138291,PRJNA224116,None,None,GPE PC73,None,None,20-May-09,Xanthomonas albilineans GPE PC73,Xanthomonas albilineans,None,None,None,None,3852299,4,3768695,Yes,BMC Genomics 10; 616 (2009),Pieretti;I.; Royer;M.; Barbe;V.; Carrere;S.; Koebnik;R.; Cociancich;S.; Couloux;A.; Darrasse;A.; Gouzy;J.; Jacques;M.A.; Lauber;E.; Manceau;C.; Mangenot;S.; Poussier;S.; Segurens;B.; Szurek;B.; Verdier;V.; Arlat;M. and Rott;P.,The complete genome sequence of Xanthomonas albilineans provides new insights into the reductive genome evolution of the xylem-limited Xanthomonadaceae
GCF_000093125.2_ASM9312v2_genomic.gbff,ASM9312v2,GCF_000093125.2,NC_013766,SAMN02603776,PRJNA224116,None,None,Aug-78,None,None,12-Jun-14,Listeria monocytogenes 08-5578,Listeria monocytogenes,None,None,None,None,3109678,2,3032624,Yes,BMC Genomics 11; 120 (2010),Gilmour;M.W.; Graham;M.; Van Domselaar;G.; Tyler;S.; Kent;H.; Trout-Yakel;K.M.; Larios;O.; Allen;V.; Lee;B. and Nadon;C.,High-throughput genome sequencing of two Listeria monocytogenes clinical isolates during a large foodborne outbreak
GCF_000022925.1_ASM2292v1_genomic.gbff,ASM2292v1,GCF_000022925.1,NC_013768,SAMN02603721,PRJNA224116,None,None,Aug-23,None,None,09-Apr-09,Listeria monocytogenes 08-5923,Listeria monocytogenes,None,None,None,None,2999054,1,2999054,Yes,BMC Genomics 11; 120 (2010),Gilmour;M.W.; Graham;M.; Van Domselaar;G.; Tyler;S.; Kent;H.; Trout-Yakel;K.M.; Larios;O.; Allen;V.; Lee;B. and Nadon;C.,High-throughput genome sequencing of two Listeria monocytogenes clinical isolates during a large foodborne outbreak
GCF_000091985.1_ASM9198v1_genomic.gbff,ASM9198v1,GCF_000091985.1,NC_013949,SAMEA2272735,PRJNA224116,None,Mustela putorius furo,12198,None,None,18-Sep-09,Helicobacter mustelae 12198,Helicobacter mustelae,None,None,None,None,1578097,1,1578097,Yes,BMC Genomics 11; 164 (2010),O'Toole;P.W.; Snelling;W.J.; Canchaya;C.; Forde;B.M.; Hardie;K.R.; Josenhans;C.; Graham;R.L.; McMullan;G.; Parkhill;J.; Belda;E. and Bentley;S.D.,Comparative genomics and proteomics of Helicobacter mustelae; an ulcerogenic and carcinogenic gastric pathogen
GCF_000183345.1_ASM18334v1_genomic.gbff,ASM18334v1,GCF_000183345.1,NC_017634,None,PRJNA161987,None,None,NRG 857C,None,None,11-Apr-12,Escherichia coli O83:H1 str. NRG 857C,Escherichia coli,None,None,None,None,4894879,2,4747819,Yes,BMC Genomics 11 (1); 667 (2010),Nash;J.H.; Villegas;A.; Kropinski;A.M.; Aguilar-Valenzuela;R.; Konczy;P.; Mascarenhas;M.; Ziebell;K.; Torres;A.G.; Karmali;M.A. and Coombes;B.K.,Genome sequence of adherent-invasive Escherichia coli and comparative genomic analysis with other E. coli pathotypes
GCF_000092625.1_ASM9262v1_genomic.gbff,ASM9262v1,GCF_000092625.1,NC_014125,SAMN02604292,PRJNA224116,None,None,2300/99 Alcoy,None,None,13-Nov-09,Legionella pneumophila 2300/99 Alcoy,Legionella pneumophila,None,None,None,None,3516334,1,3516334,Yes,BMC Genomics 11; 181 (2010),D'Auria;G.; Jimenez-Hernandez;N.; Peris-Bondia;F.; Moya;A. and Latorre;A.,Legionella pneumophila pangenome reveals strain-specific virulence factors
GCF_000023465.1_ASM2346v1_genomic.gbff,ASM2346v1,GCF_000023465.1,NC_014041,SAMN02603855,PRJNA224116,None,None,SMA-87,None,None,22-Jun-09,Zunongwangia profunda SM-A87,Zunongwangia profunda,None,None,None,None,5128187,1,5128187,Yes,BMC Genomics 11; 247 (2010),Qin;Q.L.; Zhang;X.Y.; Wang;X.M.; Liu;G.M.; Chen;X.L.; Xie;B.B.; Dang;H.Y.; Zhou;B.C.; Yu;J. and Zhang;Y.Z.,The complete genome of Zunongwangia profunda SM-A87 reveals its adaptation to the deep-sea environment and ecological role in sedimentary organic nitrogen degradation
GCF_000016185.1_ASM1618v1_genomic.gbff,ASM1618v1,GCF_000016185.1,NC_011420,SAMN02603908,PRJNA224116,None,None,SW; ATCC 51521,None,None,17-Feb-10,Rhodospirillum centenum SW,Rhodospirillum centenum,None,None,None,None,4355543,1,4355543,Yes,BMC Genomics 11; 325 (2010),Lu;Y.K.; Marden;J.; Han;M.; Swingley;W.D.; Mastrian;S.D.; Chowdhury;S.R.; Hao;J.; Helmy;T.; Kim;S.; Kurdoglu;A.A.; Matthies;H.J.; Rollo;D.; Stothard;P.; Blankenship;R.E.; Bauer;C.E. and Touchman;J.W.,Metabolic flexibility revealed in the genome of the cyst-forming alpha-1 proteobacterium Rhodospirillum centenum
GCF_000196755.1_ASM19675v1_genomic.gbff,ASM19675v1,GCF_000196755.1,NC_014256,SAMEA2272698,PRJNA224116,None,None,B8,None,None,30-Nov-09,Helicobacter pylori B8,Helicobacter pylori,None,None,None,None,1680029,2,1673997,Yes,BMC Genomics 11; 335 (2010),Farnbacher;M.; Jahns;T.; Willrodt;D.; Daniel;R.; Haas;R.; Goesmann;A.; Kurtz;S. and Rieder;G.,Sequencing; annotation; and comparative genome analysis of the gerbil-adapted Helicobacter pylori strain B8
GCF_000091345.1_ASM9134v1_genomic.gbff,ASM9134v1,GCF_000091345.1,NC_012973,SAMEA3138296,PRJNA224116,None,None,B38,France,None,20-Jan-09,Helicobacter pylori B38,Helicobacter pylori,None,None,None,None,1576758,1,1576758,Yes,BMC Genomics 11; 368 (2010),Thiberge;J.M.; Boursaux-Eude;C.; Lehours;P.; Dillies;M.A.; Creno;S.; Coppee;J.Y.; Rouy;Z.; Lajus;A.; Ma;L.; Burucoa;C.; Ruskone-Foumestraux;A.; Courillon-Mallet;A.; De Reuse;H.; Boneca;I.G.; Lamarque;D.; Megraud;F.; Delchier;J.C.; Medigue;C.; Bouchier;C.; Labigne;A. and Raymond;J.,From array-based hybridization of Helicobacter pylori isolates to the complete genome sequence of an isolate associated with MALT lymphoma
GCF_000009585.1_ASM958v1_genomic.gbff,ASM958v1,GCF_000009585.1,NC_017333,SAMEA2272644,PRJNA224116,None,None,type strain:ST398,None,None,23-Apr-08,Staphylococcus aureus subsp. aureus ST398,Staphylococcus aureus,None,None,None,None,2885367,4,2872582,Yes,BMC Genomics 11; 376 (2010),Schijffelen;M.J.; Boel;C.H.; van Strijp;J.A. and Fluit;A.C.,Whole genome analysis of a livestock-associated methicillin-resistant Staphylococcus aureus ST398 isolate from a case of human endocarditis
GCF_000283475.1_ASM28347v1_genomic.gbff,ASM28347v1,GCF_000283475.1,NC_014311,SAMEA2272112,PRJNA224116,None,None,PSI07,None,None,11-May-10,Ralstonia solanacearum PSI07,Ralstonia solanacearum,None,None,None,None,5605618,2,3520618,Yes,BMC Genomics 11; 379 (2010),Remenant;B.; Coupat-Goutaland;B.; Guidot;A.; Cellier;G.; Wicker;E.; Allen;C.; Fegan;M.; Pruvost;O.; Elbaz;M.; Calteau;A.; Salvignol;G.; Mornico;D.; Mangenot;S.; Barbe;V.; Medigue;C. and Prior;P.,Genomes of three tomato pathogens within the Ralstonia solanacearum species complex reveal significant evolutionary divergence
GCF_000196615.1_ASM19661v1_genomic.gbff,ASM19661v1,GCF_000196615.1,NC_014306,SAMEA2272131,PRJNA224116,None,None,Eb661,None,None,11-Mar-09,Erwinia billingiae Eb661,Erwinia billingiae,None,None,None,None,5372268,3,5100167,Yes,BMC Genomics 11; 393 (2010),Kube;M.; Migdoll;A.M.; Gehring;I.; Heitmann;K.; Mayer;Y.; Kuhl;H.; Knaust;F.; Geider;K. and Reinhardt;R.,Genome comparison of the epiphytic bacteria Erwinia billingiae and E. tasmaniensis with the pear pathogen E. pyrifoliae
GCF_000027265.1_ASM2726v1_genomic.gbff,ASM2726v1,GCF_000027265.1,NC_012214,SAMEA2272200,PRJNA224116,None,None,Ep1/96,None,None,11-Mar-09,Erwinia pyrifoliae Ep1/96,Erwinia pyrifoliae,None,None,None,None,4072846,5,4026322,Yes,BMC Genomics 11; 393 (2010),Kube;M.; Migdoll;A.M.; Gehring;I.; Heitmann;K.; Mayer;Y.; Kuhl;H.; Knaust;F.; Geider;K. and Reinhardt;R.,Genome comparison of the epiphytic bacteria Erwinia billingiae and E. tasmaniensis with the pear pathogen E. pyrifoliae
GCF_000020725.1_ASM2072v1_genomic.gbff,ASM2072v1,GCF_000020725.1,NC_011146,SAMN02598400,PRJNA224116,None,None,Bem,None,None,18-Oct-12,Geobacter bemidjiensis Bem,Geobacter bemidjiensis,None,None,None,None,4615150,1,4615150,Yes,BMC Genomics 11; 490 (2010),Aklujkar;M.; Young;N.D.; Holmes;D.; Chavan;M.; Risso;C.; Kiss;H.E.; Han;C.S.; Land;M.L. and Lovley;D.R.,The genome of Geobacter bemidjiensis; exemplar for the subsurface clade of Geobacter species that predominate in Fe(III)-reducing subsurface environments
GCF_000196295.1_ASM19629v1_genomic.gbff,ASM19629v1,GCF_000196295.1,NC_014752,SAMEA3138337,PRJNA224116,None,None,020-06,None,None,18-Jun-10,Neisseria lactamica 020-06,Neisseria lactamica,None,None,None,None,2220606,1,2220606,Yes,BMC Genomics 11; 652 (2010),Bennett;J.S.; Bentley;S.D.; Vernikos;G.S.; Quail;M.A.; Cherevach;I.; White;B.; Parkhill;J. and Maiden;M.C.,Independent evolution of the core and accessory gene sets in the genus Neisseria: insights gained from the genome of Neisseria lactamica isolate 020-06
GCF_000185985.2_ASM18598v2_genomic.gbff,ASM18598v2,GCF_000185985.2,NC_014909,SAMN02603466,PRJNA224116,None,None,BVAF,None,None,28-Nov-11,Candidatus Blochmannia vafer str. BVAF,Candidatus Blochmannia,None,None,None,None,722585,1,722585,Yes,BMC Genomics 11; 687 (2010),Williams;L.E. and Wernegreen;J.J.,Unprecedented loss of ammonia assimilation capability in a urease-encoding bacterial mutualist
GCF_000143705.1_ASM14370v1_genomic.gbff,ASM14370v1,GCF_000143705.1,NC_014329,SAMN02603078,PRJNA224116,None,None,FRC41,None,None,08-Jul-10,Corynebacterium pseudotuberculosis FRC41,Corynebacterium pseudotuberculosis,None,None,None,None,2337913,1,2337913,Yes,BMC Genomics 11; 728 (2010),Trost;E.; Ott;L.; Schneider;J.; Schroder;J.; Jaenicke;S.; Goesmann;A.; Husemann;P.; Stoye;J.; Alves Dorella;F.; Souza Rocha;F.; de Castro Soares;S.; D'Afonseca;V.; Miyoshi;A.; Ruiz;J.; Silva;A.; Azevedo;V.; Burkovski;A.; Guiso;N.; Join-Lambert;O.F.; Kayal;S. and Tauch;A.,The complete genome sequence of Corynebacterium pseudotuberculosis FRC41 isolated from a 12-year-old girl with necrotizing lymphadenitis reveals insights into gene-regulatory networks contributing to virulence
GCF_000022905.1_ASM2290v1_genomic.gbff,ASM2290v1,GCF_000022905.1,NC_012590,SAMN02603064,PRJNA224116,None,None,DSM 44827; ATCC 700975,None,None,15-Apr-09,Corynebacterium aurimucosum ATCC 700975,Corynebacterium aurimucosum,None,None,None,None,2819226,2,2790189,Yes,BMC Genomics 11; 91 (2010),Trost;E.; Gotker;S.; Schneider;J.; Schneiker-Bekel;S.; Szczepanowski;R.; Tilker;A.; Viehoever;P.; Arnold;W.; Bekel;T.; Blom;J.; Gartemann;K.H.; Linke;B.; Goesmann;A.; Puhler;A.; Shukla;S.K. and Tauch;A.,Complete genome sequence and lifestyle of black-pigmented Corynebacterium aurimucosum ATCC 700975 (formerly C. nigricans CN-1) isolated from a vaginal swab of a woman with spontaneous abortion
GCF_000253075.1_ASM25307v1_genomic.gbff,ASM25307v1,GCF_000253075.1,NC_015431,SAMEA2272808,PRJNA224116,None,None,95010,None,None,02-Sep-10,Mycoplasma mycoides subsp. capri LC str. 95010,Mycoplasma mycoides,None,None,None,None,1155838,2,1153998,Yes,BMC Genomics 12; 114 (2011),Thiaucourt;F.; Manso-Silvan;L.; Salah;W.; Barbe;V.; Berger;A.; Jacob;D.; Breton;M.; Dupuy;V.; Lomenech;A.M.; Blanchard;A. and Sirand-Pugnet;P.,Mycoplasma mycoides; from 'mycoides Small Colony' to 'capri'. A microevolutionary perspective
GCF_000204565.1_ASM20456v1_genomic.gbff,ASM20456v1,GCF_000204565.1,NC_015425,SAMN02603671,PRJNA224116,None,None,BKT015925,None,None,22-Dec-10,Clostridium botulinum BKT015925,Clostridium botulinum,None,None,None,None,3207592,6,2773157,Yes,BMC Genomics 12; 185 (2011),Skarin;H.; Hafstrom;T.; Westerberg;J. and Segerman;B.,Clostridium botulinum group III: a group with dual identity shaped by plasmids; phages and mobile elements
GCF_000154785.2_ASM15478v2_genomic.gbff,ASM15478v2,GCF_000154785.2,NC_015730,SAMN02603624,PRJNA224116,seaweed,None,Och 149,None,None,23-Mar-11,Roseobacter litoralis Och 149,Roseobacter litoralis,None,None,None,None,4745450,4,4505211,Yes,BMC Genomics 12; 324 (2011),Kalhoefer;D.; Thole;S.; Voget;S.; Lehmann;R.; Liesegang;H.; Wollher;A.; Daniel;R.; Simon;M. and Brinkhoff;T.,Comparative genome analysis and genome-guided physiological analysis of Roseobacter litoralis
GCF_000215665.1_ASM21566v1_genomic.gbff,ASM21566v1,GCF_000215665.1,NC_015683,SAMN02603080,PRJNA224116,None,None,BR-AD22,None,None,18-May-11,Corynebacterium ulcerans BR-AD22,Corynebacterium ulcerans,None,None,None,None,2606374,1,2606374,Yes,BMC Genomics 12; 383 (2011),Trost;E.; Al-Dilaimi;A.; Papavasiliou;P.; Schneider;J.; Viehoever;P.; Burkovski;A.; Soares;S.C.; Almeida;S.S.; Dorella;F.A.; Miyoshi;A.; Azevedo;V.; Schneider;M.P.; Silva;A.; Santos;C.S.; Santos;L.S.; Sabbadini;P.; Dias;A.A.; Hirata;R. Jr.; Mattos-Guaraldi;A.L. and Tauch;A.,Comparative analysis of two complete Corynebacterium ulcerans genomes and detection of candidate virulence factors
GCF_000215645.1_ASM21564v1_genomic.gbff,ASM21564v1,GCF_000215645.1,NC_017317,SAMN02603079,PRJNA224116,None,None,809,None,None,18-May-11,Corynebacterium ulcerans 809,Corynebacterium ulcerans,None,None,None,None,2502095,1,2502095,Yes,BMC Genomics 12; 383 (2011),Trost;E.; Al-Dilaimi;A.; Papavasiliou;P.; Schneider;J.; Viehoever;P.; Burkovski;A.; Soares;S.C.; Almeida;S.S.; Dorella;F.A.; Miyoshi;A.; Azevedo;V.; Schneider;M.P.; Silva;A.; Santos;C.S.; Santos;L.S.; Sabbadini;P.; Dias;A.A.; Hirata;R. Jr.; Mattos-Guaraldi;A.L. and Tauch;A.,Comparative analysis of two complete Corynebacterium ulcerans genomes and detection of candidate virulence factors
GCF_000223215.1_ASM22321v1_genomic.gbff,ASM22321v1,GCF_000223215.1,NC_017243,SAMN02603670,PRJNA224116,None,None,PWS/A,None,None,16-Jun-11,Brachyspira intermedia PWS/A,Brachyspira intermedia,None,None,None,None,3308048,2,3304788,Yes,BMC Genomics 12; 395 (2011),Hafstrom;T.; Jansson;D.S. and Segerman;B.,Complete genome sequence of Brachyspira intermedia reveals unique genomic features in Brachyspira species and phage-mediated horizontal gene transfer
GCF_000203195.1_ASM20319v1_genomic.gbff,ASM20319v1,GCF_000203195.1,NC_015215,SAMEA2272408,PRJNA224116,human blood,None,ATCC BAA-2069,Germany,None,18-Feb-11,Streptococcus gallolyticus subsp. gallolyticus ATCC BAA-2069,Streptococcus gallolyticus,None,None,None,None,2377209,2,2356444,Yes,BMC Genomics 12; 400 (2011),Hinse;D.; Vollmer;T.; Ruckert;C.; Blom;J.; Kalinowski;J.; Knabbe;C. and Dreier;J.,Complete genome and comparative analysis of Streptococcus gallolyticus subsp. gallolyticus; an emerging pathogen of infective endocarditis
GCF_000226155.1_ASM22615v1_genomic.gbff,ASM22615v1,GCF_000226155.1,NC_017548,SAMN02603849,PRJNA224116,None,None,M18,None,None,18-Jan-11,Pseudomonas aeruginosa M18,Pseudomonas aeruginosa,None,None,None,None,6327754,1,6327754,Yes,BMC Genomics 12; 438 (2011),Wu;D.Q.; Ye;J.; Ou;H.Y.; Wei;X.; Huang;X.; He;Y.W. and Xu;Y.,Genomic analysis and temperature-dependent transcriptome profiles of the rhizosphere originating strain Pseudomonas aeruginosa M18
GCF_000226315.1_ASM22631v1_genomic.gbff,ASM22631v1,GCF_000226315.1,NC_016026,SAMN02604252,PRJNA224116,None,None,ARL-13,None,None,14-Dec-10,Micavibrio aeruginosavorus ARL-13,Micavibrio aeruginosavorus,None,None,None,None,2481983,1,2481983,Yes,BMC Genomics 12; 453 (2011),Wang;Z.; Kadouri;D.E. and Wu;M.,Genomic insights into an obligate epibiotic bacterial predator: Micavibrio aeruginosavorus ARL-13
GCF_000234725.1_ASM23472v1_genomic.gbff,ASM23472v1,GCF_000234725.1,NC_016804,SAMN02604104,PRJNA224116,None,None,Mexico,Mexico,None,29-Jun-10,Mycobacterium bovis BCG str. Mexico,Mycobacterium bovis,None,None,None,None,4350386,1,4350386,Yes,BMC Genomics 12; 493 (2011),Orduna;P.; Cevallos;M.A.; de Leon;S.P.; Arvizu;A.; Hernandez-Gonzalez;I.L.; Mendoza-Hernandez;G. and Lopez-Vidal;Y.,Genomic and proteomic analyses of Mycobacterium bovis BCG Mexico 1931 reveal a diverse immunogenic repertoire against tuberculosis infection
GCF_000231925.1_ASM23192v1_genomic.gbff,ASM23192v1,GCF_000231925.1,NC_017950,SAMN02603323,PRJNA224116,None,None,ST1,None,None,11-Apr-11,Streptococcus suis ST1,Streptococcus suis,None,None,None,None,2034321,1,2034321,Yes,BMC Genomics 12; 523 (2011),Zhang;A.; Yang;M.; Hu;P.; Wu;J.; Chen;B.; Hua;Y.; Yu;J.; Chen;H.; Xiao;J. and Jin;M.,Comparative genomic analysis of Streptococcus suis reveals significant genomic diversity among different serotypes
GCF_000233575.1_ASM23357v1_genomic.gbff,ASM23357v1,GCF_000233575.1,NC_017622,SAMN02603318,PRJNA224116,None,None,A7,None,None,07-Mar-11,Streptococcus suis A7,Streptococcus suis,None,None,None,None,2038409,1,2038409,Yes,BMC Genomics 12; 523 (2011),Zhang;A.; Yang;M.; Hu;P.; Wu;J.; Chen;B.; Hua;Y.; Yu;J.; Chen;H.; Xiao;J. and Jin;M.,Comparative genomic analysis of Streptococcus suis reveals significant genomic diversity among different serotypes
GCF_000231885.1_ASM23188v1_genomic.gbff,ASM23188v1,GCF_000231885.1,NC_017620,SAMN02603321,PRJNA224116,None,None,D9,None,None,07-Apr-11,Streptococcus suis D9,Streptococcus suis,None,None,None,None,2177656,1,2177656,Yes,BMC Genomics 12; 523 (2011),Zhang;A.; Yang;M.; Hu;P.; Wu;J.; Chen;B.; Hua;Y.; Yu;J.; Chen;H.; Xiao;J. and Jin;M.,Comparative genomic analysis of Streptococcus suis reveals significant genomic diversity among different serotypes
